id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
164785,NHA,,,PreservedSpecimen,7360618a-7417-46f2-840c-419e8d7cad36,NHA-728977,44200,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,A. C. Mathieson,,,,8/10/1979,1979,8,10,222,,,,,,,,,,,,,,,,,,,,,United States,California,Santa Barbara,Santa Barbara,"Naples Reef, SCUBA, Santa Barbara, CA",,0,,34.422222,-119.952774,,2107,,hmt (2015-01-07 19:42:39),,georef batch tool 2015-01-07; GeoLocate,reviewed - high confidence,,6,12,,,,20-40 feet,,,James Lydecker,4/19/2017 11:57,NHA-728977,1,urn:uuid:7360618a-7417-46f2-840c-419e8d7cad36,https://macroalgae.org:443/portal/collections/individual/index.php?occid=164785
154594,NY,,,PreservedSpecimen,,2214171,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214171,2,urn:uuid:ad80891f-7448-42e3-bbd9-b5f11ace00cb,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154594
154595,NY,,,PreservedSpecimen,,2214170,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214170,2,urn:uuid:80731a95-e0c9-4ad7-ad13-c679ed3d2e9a,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154595
154596,NY,,,PreservedSpecimen,,2214169,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214169,2,urn:uuid:84e17958-0c78-4ea5-bdcd-b4d60534f690,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154596
154597,NY,,,PreservedSpecimen,,2214168,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214168,2,urn:uuid:50cf8e93-7ac4-455c-a41c-5f2631ed04fb,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154597
154598,NY,,,PreservedSpecimen,,2214167,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1/8/2015 13:13,2214167,2,urn:uuid:bf72385b-8f77-4c4a-be94-f9510375c063,https://macroalgae.org:443/portal/collections/individual/index.php?occid=154598
559873,NY,,,PreservedSpecimen,,2347677,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,10/14/2015 14:34,2347677,2,urn:uuid:e97a433e-1c0d-4169-b642-016cd224c302,https://macroalgae.org:443/portal/collections/individual/index.php?occid=559873
272046,NCU,,,PreservedSpecimen,9d5dc249-5d2f-4080-9006-b16ca956ffbe,NCU-A-0016500,618115,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Yoshizaki, Makoto",1971,,,,,,"Yoshizaki, Makoto",,,7-090(2),4/25/1971,1971,4,25,115,,,,,,,,,,,,,,0,,,,,,,Japan,Chiba,,Ohara,"Ohara, Chiba",,0,,35.250561,140.405649,,3036,,liane (2015-05-17 17:54:12),,georef batch tool 2015-05-17; GeoLocate,reviewed - high confidence,,,,,,,,,,wpmarinello,10/12/2015 15:02,,3,urn:uuid:9d5dc249-5d2f-4080-9006-b16ca956ffbe,https://macroalgae.org:443/portal/collections/individual/index.php?occid=272046
272047,NCU,,,PreservedSpecimen,4d1519c2-bbe7-42ff-a939-c575e8a0f156,NCU-A-0016501,618116,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Yoshizaki, Makoto",1968,,,,,,"Yoshizaki, Makoto",,,7-090(1),3/17/1968,1968,3,17,77,,,,,,,,,,,,,,0,,,,,,,Japan,Aomori,,Shiranuka,"Shiranuka, Aomori, Shimokita",,0,,41.133333,141.4,,3036,,carol ann mccormick (2015-02-13 12:51:42),,georef batch tool 2015-02-13; GeoLocate,reviewed - high confidence,,,,,,,,,,wpmarinello,10/12/2015 15:02,,3,urn:uuid:4d1519c2-bbe7-42ff-a939-c575e8a0f156,https://macroalgae.org:443/portal/collections/individual/index.php?occid=272047
703013,MICH,,,PreservedSpecimen,8c8d6de7-d119-40cc-8a0e-bda0237dd549,723068,"Enomoto, Yoshida, Masuda & Kawai, Marine Benth. Algae Seto Japon. 046",Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,S. Enomoto,,,3414,6/3/1994,1994,6,3,154,,,,,,,,,,,,,,,,,,,,,Japan,Yamaguchi-ken,,,"Hando-jima, Heigun-to",,0,,33.775,132.175,,,33? 46.5' N 132? 10.5' E,,,,,,,,,,,,,,C. Davey,6/29/2015 12:03,,5,urn:uuid:8c8d6de7-d119-40cc-8a0e-bda0237dd549,https://macroalgae.org:443/portal/collections/individual/index.php?occid=703013
817861,DUKE,,,PreservedSpecimen,7efb3e86-fa18-4911-87e7-df4d8d0a751e,212276,19384,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,"Schneider, C.W.",,,,,,,"Schneider, C. W.",,,09-47-2,8/26/2009,2009,8,26,238,,26-Aug-09,,drift,,,,,,,,,,,,,,,,,United States,Rhode Island,Washington,,"Watch Hill Point, Napatree Beach",,0,,41.3105556,-71.8630556,,,41.3105556? -71.8630556?,,,,,,,,,,,,,,,5/15/2017 07:15,212276,7,urn:uuid:7efb3e86-fa18-4911-87e7-df4d8d0a751e,https://macroalgae.org:443/portal/collections/individual/index.php?occid=817861
792113,UC,,,PreservedSpecimen,fb70a4e6-3acc-4d50-b5e1-a0026bed5465,UC794249,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,s.n.,1932-04-00,1932,4,,,,,,,,,,,,,,,,,,,,,,,Japan,Kanagawa-ken,,,"Yenoshima, Sagami province",,,,35.302538,139.48271,WGS84,1051,,emilyt (2016-04-18 14:14:43),,georef batch tool 2016-04-18; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:42,,8,urn:uuid:fb70a4e6-3acc-4d50-b5e1-a0026bed5465,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792113
792116,UC,,,PreservedSpecimen,21e8ae9c-9576-469a-8bc1-f582a3b944d0,UC1469106,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Jiro Tanaka,,,s.n.,3/13/1986,1986,3,13,72,,,,on rocks in the subtidal zone,,,,,,,,,,,,,,,,,Japan,Shizuoka-ken,,,"Honshu, Shizuoka prefecture, Shimoda-shi, Tohji",,,,34.633333,138.833333,,,"34 38'N, 138 50'E",,,,,,,,,,,,,,arondoni,4/7/2016 12:26,,8,urn:uuid:21e8ae9c-9576-469a-8bc1-f582a3b944d0,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792116
792119,UC,,,PreservedSpecimen,ed1cdfac-9e17-4f75-82ab-3575f3c5c79f,UC418161,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,K. Okamura,,,22,5/4/1929,1929,5,4,124,,,,,,,,,,,,,,,,,,,,,Japan,Saga-ken,,,"Karatsu, Kyushu",,,,33.4425,129.969722,WGS84,3964,,emilyt (2016-04-21 10:09:42),,georef batch tool 2016-04-21; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:42,,8,urn:uuid:ed1cdfac-9e17-4f75-82ab-3575f3c5c79f,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792119
792123,UC,,,PreservedSpecimen,73463a8c-cdc6-4dbd-b3d0-d57b180972c8,UC1854972,AHFH 87892,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Jiro Tanaka,,,s.n.,3/13/1986,1986,3,13,72,,,,on rocks in the subtidal zone,,,,,,,,,,,,,,,,,Japan,Shizuoka-ken,,,"Honshu, Shizuoka prefecture, Shimoda-shi, Tohji",,,,34.633333,138.833333,,,"34 38'N, 138 50'E",,,,,,,,,,,,,,arondoni,4/7/2016 12:27,,8,urn:uuid:73463a8c-cdc6-4dbd-b3d0-d57b180972c8,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792123
792126,UC,,,PreservedSpecimen,be4c2fb0-1ae8-4ae0-b305-a35c224197e3,UC1854975,AHFH 68692,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,T. Segi,,,s.n.,4/22/1944,1944,4,22,113,,,,,,,,,,,,,,,,,,,,,Japan,Shizuoka-ken,,,"Onmaesaki, Toomi province [Omaezaki]",,,,34.648144,138.148127,WGS84,4377,,emilyt (2016-04-25 14:30:10),,georef batch tool 2016-04-25; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:42,,8,urn:uuid:be4c2fb0-1ae8-4ae0-b305-a35c224197e3,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792126
792128,UC,,,PreservedSpecimen,922cbedd-3535-4fcc-be2e-2a7c490e6ef2,UC1854976,AHFH 83210,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,T. Kaneko,,,10112,8/29/1968,1968,8,29,242,,,,,,,,,,,,,,,,,,,,,Japan,,,,"Rishiri Island, Hokkaido",,,,45.180556,141.243056,,20397,,emilyt (2016-04-18 14:16:06),,georef batch tool 2016-04-18; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,4/18/2016 17:16,,8,urn:uuid:922cbedd-3535-4fcc-be2e-2a7c490e6ef2,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792128
792129,UC,,,PreservedSpecimen,028af235-08bf-4cdc-95f4-328908958bff,UC1854977,AHFH 46434,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,,,,s.n.,1932-04-00,1932,4,,,,,,,,,,,,,,,,,,,,,,,Japan,Kanagawa-ken,,,"Yenoshima, Sagami province",,,,35.302538,139.48271,WGS84,1238,,emilyt (2016-04-18 14:14:43),,georef batch tool 2016-04-18; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:43,,8,urn:uuid:028af235-08bf-4cdc-95f4-328908958bff,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792129
792131,UC,,,PreservedSpecimen,04e1e18a-4c4f-4f5b-bc34-d8cc822b28d7,UC1854978,AHFH 28184,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,K. Inagaki,,,s.n.,4/25/1947,1947,4,25,115,,,,,,,,,,,,,,,,,,,,,Japan,Aichi-ken,,,"Toyohama, Owari province",,,,34.708256,136.92887,WGS84,3920,,emilyt (2016-04-25 14:38:46),,georef batch tool 2016-04-25; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:43,,8,urn:uuid:04e1e18a-4c4f-4f5b-bc34-d8cc822b28d7,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792131
792135,UC,,,PreservedSpecimen,4035ed6b-dd2e-492d-8551-d0be7dd9fd28,UC1854979,AHFH 28189,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,K. Inagaki,,,s.n.,5/25/1947,1947,5,25,145,,,,,,,,,,,,,,,,,,,,,Japan,Aichi-ken,,,"Toyohama, Owari province",,,,34.712419,136.92578,WGS84,3031,,emilyt (2016-04-25 14:38:46),,georef batch tool 2016-04-25; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:43,,8,urn:uuid:4035ed6b-dd2e-492d-8551-d0be7dd9fd28,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792135
792138,UC,,,PreservedSpecimen,d15d98e8-c088-44ae-9b30-f3b7516993d2,UC1854980,AHFH 21957,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,K. Inagaki,,,s.n.,4/25/1947,1947,4,25,115,,,,,,,,,,,,,,,,,,,,,Japan,Aichi-ken,,,"Toyohama, Owari province",,,,34.711854,136.930586,WGS84,2403,,emilyt (2016-04-25 14:38:46),,georef batch tool 2016-04-25; GeoLocate,reviewed - high confidence,,,,,,,,,,arondoni,9/9/2016 19:44,,8,urn:uuid:d15d98e8-c088-44ae-9b30-f3b7516993d2,https://macroalgae.org:443/portal/collections/individual/index.php?occid=792138
1008221,SD,,,PreservedSpecimen,e1bc6ddd-ebdf-49ea-b874-5857bd51deac,SD00005366,151478,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Elizabeth L. Venrick,,,126,6/7/1965,1965,6,7,158,,,,5 fathoms,,,,,,,,,,,,,,,,,United States,Washington,San Juan,,"Smith Island, south of San Juan Island",,0,,48.318969,-122.842815,,797,,ads1021 (2017-09-26 15:14:38),,georef batch tool 2017-09-26; GeoLocate,reviewed - high confidence,,,,,,,,,,pv,9/26/2017 18:14,,10,urn:uuid:e1bc6ddd-ebdf-49ea-b874-5857bd51deac,https://macroalgae.org:443/portal/collections/individual/index.php?occid=1008221
205587,GMS,,,PreservedSpecimen,b747b078-6243-4d48-8aa4-b4b18769e8f2,GMS8060,5358,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,M. M. Littler,,,s.n.,8/18/1969,1969,8,18,230,,,I. A. Abbott 5358,60 feet depth,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, Carmel Submarine Canyon, off San Jose Creek Beach, Monterey County, Carmel, CA",,0,,36.52847,-121.93236,,848,,blegler (2017-06-02 11:31:48),,georef batch tool 2017-06-02; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:38,,11,urn:uuid:b747b078-6243-4d48-8aa4-b4b18769e8f2,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205587
205588,GMS,,,PreservedSpecimen,5437e17d-ba35-411a-81a7-ab0987de5d6c,GMS13035,12171,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Jay Smith,,,s.n.,4/27/1974,1974,4,27,117,,,,"on back of Cryptochiton stelleri, about 40 feet depth",,,,,,,Cryptochiton stelleri,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, ""Monastery Beach"" and Carmel Submarine Canyon, Monterey County, CA",,0,,36.523573,-121.927177,,327,,blegler (2017-06-02 09:46:18),,georef batch tool 2017-06-02; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:38,,11,urn:uuid:5437e17d-ba35-411a-81a7-ab0987de5d6c,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205588
205589,GMS,,,PreservedSpecimen,64bb9702-55b7-4ebc-8532-e615af56d2a8,GMS13129,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,R. Sellers,,,7/14/1976,,,,,,,,,"subtidal, 15 feet depth",,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, Partington Canyon, Monterey County, CA",,0,,36.176091,-121.694904,,435,,blegler (2017-06-05 13:54:59),,georef batch tool 2017-06-05; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:38,,11,urn:uuid:64bb9702-55b7-4ebc-8532-e615af56d2a8,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205589
205590,GMS,,,PreservedSpecimen,7a1a6f97-3883-486f-847f-1c9d19154d5a,GMS4185,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,C. F. Cleland,,,s.n.,5/29/1964,1964,5,29,150,,,,Cast ashore.,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",,0,,36.547932,-121.930002,,395,,blegler (2017-06-06 10:13:32),,georef batch tool 2017-06-06; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:38,,11,urn:uuid:7a1a6f97-3883-486f-847f-1c9d19154d5a,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205590
205591,GMS,,,PreservedSpecimen,a82a628f-d945-4e30-ad9f-70a2a413475c,GMS5184,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,G. J. Hollenberg,,,3621.5,6/27/1964,1964,6,27,179,,,,dredged about 7 fathoms off breakwater,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, 7 fathoms off breakwater, Monterey County, CA",,0,,36.608982,-121.891339,,221,,blegler (2017-06-02 10:20:13),,georef batch tool 2017-06-02; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:38,,11,urn:uuid:a82a628f-d945-4e30-ad9f-70a2a413475c,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205591
205592,GMS,,,PreservedSpecimen,875addbf-2d57-4c79-83a6-c73ba629f736,GMS339,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,I. A. Abbott,,N. Nicholson,s.n.,5/21/1966,1966,5,21,141,,,,Cast ashore.,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Carmel Beach, Monterey Peninsula, CA",,0,,36.552969,-121.930635,,1015,,blegler (2017-06-01 11:31:21),,georef batch tool 2017-06-01; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:39,,11,urn:uuid:875addbf-2d57-4c79-83a6-c73ba629f736,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205592
205593,GMS,,,PreservedSpecimen,65f9a5ff-21d2-406a-a01d-feed28ab98bb,GMS4182,2706,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,Norman Richardson,,I. A. Abbott,s.n.,4/18/1965,1965,4,18,108,,,I. A. Abbott 2706,Cast ashore.,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",,0,,36.547932,-121.930002,,395,,blegler (2017-06-06 10:13:32),,georef batch tool 2017-06-06; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:39,,11,urn:uuid:65f9a5ff-21d2-406a-a01d-feed28ab98bb,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205593
205594,GMS,,,PreservedSpecimen,ef0a1892-56e5-4921-848b-e2496cba41e0,GMS11932,9638a,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,E. K. Anderson,,,s.n.,5/3/1972,1972,5,3,124,,,I. A. Abbott 9638a,30-40 feet depth,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, Carmel Bay, northwest of Carmel outfall, Monterey County, Carmel, CA",,0,,36.542778,-121.94743,,2887,,blegler (2017-06-02 11:13:14),,georef batch tool 2017-06-02; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:39,,11,urn:uuid:ef0a1892-56e5-4921-848b-e2496cba41e0,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205594
205595,GMS,,,PreservedSpecimen,8552711c-9dbd-4800-8b6d-209507374a50,GMS9832,,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Dasyaceae,Heterosiphonia japonica,43714,Yendo,Heterosiphonia,japonica,,,,,,,,,,I. A. Abbott,,,6302,5/20/1970,1970,5,20,140,,,,Cast ashore.,,,,,,,,,,0,,,,,,,United States,California,Monterey,,"Monterey Peninsula, south end of Carmel Beach, Monterey County, Carmel, CA",,0,,36.547932,-121.930002,,395,,blegler (2017-06-06 10:13:32),,georef batch tool 2017-06-06; GeoLocate,reviewed - high confidence,,,,,,,,,,symphonyu,6/15/2017 12:39,,11,urn:uuid:8552711c-9dbd-4800-8b6d-209507374a50,https://macroalgae.org:443/portal/collections/individual/index.php?occid=205595
